GitHubProject,NuGetPreview,Stars
"[StackExchange/StackExchange.Redis](https://www.github.com/StackExchange/StackExchange.Redis#readme)","[Preview](https://dev.nugettest.org/packages/loic.StackExchange.StackExchange.Redis?preview=1#show-readme-container)",4843
"[serilog/serilog](https://www.github.com/serilog/serilog#readme)","[Preview](https://dev.nugettest.org/packages/loic.serilog.serilog?preview=1#show-readme-container)",4696
"[bchavez/Bogus](https://www.github.com/bchavez/Bogus#readme)","[Preview](https://dev.nugettest.org/packages/loic.bchavez.Bogus?preview=1#show-readme-container)",4680
"[PrismLibrary/Prism](https://www.github.com/PrismLibrary/Prism#readme)","[Preview](https://dev.nugettest.org/packages/loic.PrismLibrary.Prism?preview=1#show-readme-container)",4636
"[microsoft/MixedRealityToolkit-Unity](https://www.github.com/microsoft/MixedRealityToolkit-Unity#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.MixedRealityToolkit-Unity?preview=1#show-readme-container)",4609
"[quasar/Quasar](https://www.github.com/quasar/Quasar#readme)","[Preview](https://dev.nugettest.org/packages/loic.quasar.Quasar?preview=1#show-readme-container)",4546
"[CommunityToolkit/WindowsCommunityToolkit](https://www.github.com/CommunityToolkit/WindowsCommunityToolkit#readme)","[Preview](https://dev.nugettest.org/packages/loic.CommunityToolkit.WindowsCommunityToolkit?preview=1#show-readme-container)",4347
"[StockSharp/StockSharp](https://www.github.com/StockSharp/StockSharp#readme)","[Preview](https://dev.nugettest.org/packages/loic.StockSharp.StockSharp?preview=1#show-readme-container)",4254
"[jstedfast/MailKit](https://www.github.com/jstedfast/MailKit#readme)","[Preview](https://dev.nugettest.org/packages/loic.jstedfast.MailKit?preview=1#show-readme-container)",4198
"[pojala/electrino](https://www.github.com/pojala/electrino#readme)","[Preview](https://dev.nugettest.org/packages/loic.pojala.electrino?preview=1#show-readme-container)",4138
"[thangchung/clean-code-dotnet](https://www.github.com/thangchung/clean-code-dotnet#readme)","[Preview](https://dev.nugettest.org/packages/loic.thangchung.clean-code-dotnet?preview=1#show-readme-container)",4034
"[microsoft/microsoft-ui-xaml](https://www.github.com/microsoft/microsoft-ui-xaml#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.microsoft-ui-xaml?preview=1#show-readme-container)",4028
"[domaindrivendev/Swashbuckle.AspNetCore](https://www.github.com/domaindrivendev/Swashbuckle.AspNetCore#readme)","[Preview](https://dev.nugettest.org/packages/loic.domaindrivendev.Swashbuckle.AspNetCore?preview=1#show-readme-container)",3993
"[akkadotnet/akka.net](https://www.github.com/akkadotnet/akka.net#readme)","[Preview](https://dev.nugettest.org/packages/loic.akkadotnet.akka.net?preview=1#show-readme-container)",3911
"[louthy/language-ext](https://www.github.com/louthy/language-ext#readme)","[Preview](https://dev.nugettest.org/packages/loic.louthy.language-ext?preview=1#show-readme-container)",3745
"[MassTransit/MassTransit](https://www.github.com/MassTransit/MassTransit#readme)","[Preview](https://dev.nugettest.org/packages/loic.MassTransit.MassTransit?preview=1#show-readme-container)",3726
"[donet5/SqlSugar](https://www.github.com/donet5/SqlSugar#readme)","[Preview](https://dev.nugettest.org/packages/loic.donet5.SqlSugar?preview=1#show-readme-container)",3546
"[ant-design-blazor/ant-design-blazor](https://www.github.com/ant-design-blazor/ant-design-blazor#readme)","[Preview](https://dev.nugettest.org/packages/loic.ant-design-blazor.ant-design-blazor?preview=1#show-readme-container)",3509
"[protobuf-net/protobuf-net](https://www.github.com/protobuf-net/protobuf-net#readme)","[Preview](https://dev.nugettest.org/packages/loic.protobuf-net.protobuf-net?preview=1#show-readme-container)",3493
"[neuecc/MessagePack-CSharp](https://www.github.com/neuecc/MessagePack-CSharp#readme)","[Preview](https://dev.nugettest.org/packages/loic.neuecc.MessagePack-CSharp?preview=1#show-readme-container)",3458
"[simplcommerce/SimplCommerce](https://www.github.com/simplcommerce/SimplCommerce#readme)","[Preview](https://dev.nugettest.org/packages/loic.simplcommerce.SimplCommerce?preview=1#show-readme-container)",3348
"[neo-project/neo](https://www.github.com/neo-project/neo#readme)","[Preview](https://dev.nugettest.org/packages/loic.neo-project.neo?preview=1#show-readme-container)",3294
"[shimat/opencvsharp](https://www.github.com/shimat/opencvsharp#readme)","[Preview](https://dev.nugettest.org/packages/loic.shimat.opencvsharp?preview=1#show-readme-container)",3293
"[stride3d/stride](https://www.github.com/stride3d/stride#readme)","[Preview](https://dev.nugettest.org/packages/loic.stride3d.stride?preview=1#show-readme-container)",3254
"[anjoy8/Blog.Core](https://www.github.com/anjoy8/Blog.Core#readme)","[Preview](https://dev.nugettest.org/packages/loic.anjoy8.Blog.Core?preview=1#show-readme-container)",3247
"[stnkl/EverythingToolbar](https://www.github.com/stnkl/EverythingToolbar#readme)","[Preview](https://dev.nugettest.org/packages/loic.stnkl.EverythingToolbar?preview=1#show-readme-container)",3162
"[dotnetcore/WTM](https://www.github.com/dotnetcore/WTM#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnetcore.WTM?preview=1#show-readme-container)",3137
"[mob-sakai/UIEffect](https://www.github.com/mob-sakai/UIEffect#readme)","[Preview](https://dev.nugettest.org/packages/loic.mob-sakai.UIEffect?preview=1#show-readme-container)",3136
"[elastic/elasticsearch-net](https://www.github.com/elastic/elasticsearch-net#readme)","[Preview](https://dev.nugettest.org/packages/loic.elastic.elasticsearch-net?preview=1#show-readme-container)",3107
"[dotnetcore/DotnetSpider](https://www.github.com/dotnetcore/DotnetSpider#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnetcore.DotnetSpider?preview=1#show-readme-container)",3088
"[dotnet/standard](https://www.github.com/dotnet/standard#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.standard?preview=1#show-readme-container)",3061
"[praeclarum/sqlite-net](https://www.github.com/praeclarum/sqlite-net#readme)","[Preview](https://dev.nugettest.org/packages/loic.praeclarum.sqlite-net?preview=1#show-readme-container)",3020
"[canton7/SyncTrayzor](https://www.github.com/canton7/SyncTrayzor#readme)","[Preview](https://dev.nugettest.org/packages/loic.canton7.SyncTrayzor?preview=1#show-readme-container)",2991
"[cake-build/cake](https://www.github.com/cake-build/cake#readme)","[Preview](https://dev.nugettest.org/packages/loic.cake-build.cake?preview=1#show-readme-container)",2988
"[domaindrivendev/Swashbuckle.WebApi](https://www.github.com/domaindrivendev/Swashbuckle.WebApi#readme)","[Preview](https://dev.nugettest.org/packages/loic.domaindrivendev.Swashbuckle.WebApi?preview=1#show-readme-container)",2979
"[kerryjiang/SuperSocket](https://www.github.com/kerryjiang/SuperSocket#readme)","[Preview](https://dev.nugettest.org/packages/loic.kerryjiang.SuperSocket?preview=1#show-readme-container)",2962
"[xunit/xunit](https://www.github.com/xunit/xunit#readme)","[Preview](https://dev.nugettest.org/packages/loic.xunit.xunit?preview=1#show-readme-container)",2958
"[HandyOrg/HandyControl](https://www.github.com/HandyOrg/HandyControl#readme)","[Preview](https://dev.nugettest.org/packages/loic.HandyOrg.HandyControl?preview=1#show-readme-container)",2950
"[ivanpaulovich/clean-architecture-manga](https://www.github.com/ivanpaulovich/clean-architecture-manga#readme)","[Preview](https://dev.nugettest.org/packages/loic.ivanpaulovich.clean-architecture-manga?preview=1#show-readme-container)",2927
"[dotnetcore/FreeSql](https://www.github.com/dotnetcore/FreeSql#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnetcore.FreeSql?preview=1#show-readme-container)",2887
"[skoruba/IdentityServer4.Admin](https://www.github.com/skoruba/IdentityServer4.Admin#readme)","[Preview](https://dev.nugettest.org/packages/loic.skoruba.IdentityServer4.Admin?preview=1#show-readme-container)",2817
"[siteserver/cms](https://www.github.com/siteserver/cms#readme)","[Preview](https://dev.nugettest.org/packages/loic.siteserver.cms?preview=1#show-readme-container)",2795
"[ExcelDataReader/ExcelDataReader](https://www.github.com/ExcelDataReader/ExcelDataReader#readme)","[Preview](https://dev.nugettest.org/packages/loic.ExcelDataReader.ExcelDataReader?preview=1#show-readme-container)",2793
"[dotnet/docfx](https://www.github.com/dotnet/docfx#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.docfx?preview=1#show-readme-container)",2725
"[Dotnet-Boxed/Templates](https://www.github.com/Dotnet-Boxed/Templates#readme)","[Preview](https://dev.nugettest.org/packages/loic.Dotnet-Boxed.Templates?preview=1#show-readme-container)",2721
"[icsharpcode/SharpZipLib](https://www.github.com/icsharpcode/SharpZipLib#readme)","[Preview](https://dev.nugettest.org/packages/loic.icsharpcode.SharpZipLib?preview=1#show-readme-container)",2711
"[Azure/azure-powershell](https://www.github.com/Azure/azure-powershell#readme)","[Preview](https://dev.nugettest.org/packages/loic.Azure.azure-powershell?preview=1#show-readme-container)",2682
"[k8gege/Ladon](https://www.github.com/k8gege/Ladon#readme)","[Preview](https://dev.nugettest.org/packages/loic.k8gege.Ladon?preview=1#show-readme-container)",2625
"[Ombi-app/Ombi](https://www.github.com/Ombi-app/Ombi#readme)","[Preview](https://dev.nugettest.org/packages/loic.Ombi-app.Ombi?preview=1#show-readme-container)",2565
"[topameng/tolua](https://www.github.com/topameng/tolua#readme)","[Preview](https://dev.nugettest.org/packages/loic.topameng.tolua?preview=1#show-readme-container)",2549
"[fluentmigrator/fluentmigrator](https://www.github.com/fluentmigrator/fluentmigrator#readme)","[Preview](https://dev.nugettest.org/packages/loic.fluentmigrator.fluentmigrator?preview=1#show-readme-container)",2549
"[sshnet/SSH.NET](https://www.github.com/sshnet/SSH.NET#readme)","[Preview](https://dev.nugettest.org/packages/loic.sshnet.SSH.NET?preview=1#show-readme-container)",2532
"[JimBobSquarePants/ImageProcessor](https://www.github.com/JimBobSquarePants/ImageProcessor#readme)","[Preview](https://dev.nugettest.org/packages/loic.JimBobSquarePants.ImageProcessor?preview=1#show-readme-container)",2431
"[MiniProfiler/dotnet](https://www.github.com/MiniProfiler/dotnet#readme)","[Preview](https://dev.nugettest.org/packages/loic.MiniProfiler.dotnet?preview=1#show-readme-container)",2367
"[AutoFixture/AutoFixture](https://www.github.com/AutoFixture/AutoFixture#readme)","[Preview](https://dev.nugettest.org/packages/loic.AutoFixture.AutoFixture?preview=1#show-readme-container)",2363
"[Cysharp/MagicOnion](https://www.github.com/Cysharp/MagicOnion#readme)","[Preview](https://dev.nugettest.org/packages/loic.Cysharp.MagicOnion?preview=1#show-readme-container)",2337
"[Caliburn-Micro/Caliburn.Micro](https://www.github.com/Caliburn-Micro/Caliburn.Micro#readme)","[Preview](https://dev.nugettest.org/packages/loic.Caliburn-Micro.Caliburn.Micro?preview=1#show-readme-container)",2334
"[IgnaceMaes/MaterialSkin](https://www.github.com/IgnaceMaes/MaterialSkin#readme)","[Preview](https://dev.nugettest.org/packages/loic.IgnaceMaes.MaterialSkin?preview=1#show-readme-container)",2303
