Owner,Repository,Stars,CodeFenceKind
elastic,elasticsearch-net,3107,sh
dotnetcore,DotnetSpider,3088,
fanliang11,surging,3058,c#
fanliang11,surging,3058,C#
TheBerkin,rant3,3051,
praeclarum,sqlite-net,3020,csharp
migueldeicaza,TensorFlowSharp,2997,cmd
migueldeicaza,TensorFlowSharp,2997,csharp
migueldeicaza,TensorFlowSharp,2997,fsharp
canton7,SyncTrayzor,2991,
domaindrivendev,Swashbuckle.WebApi,2979,csharp
domaindrivendev,Swashbuckle.WebApi,2979,cs
domaindrivendev,Swashbuckle.WebApi,2979,xml
commandlineparser,commandline,2966,
commandlineparser,commandline,2966,cs
commandlineparser,commandline,2966,fsharp
commandlineparser,commandline,2966,vb
commandlineparser,commandline,2966,csharp
commandlineparser,commandline,2966,fs
Perfare,Il2CppDumper,2966,
HandyOrg,HandyControl,2950,XML
ivanpaulovich,clean-architecture-manga,2927,ps1
ivanpaulovich,clean-architecture-manga,2927,sh
playgameservices,play-games-plugin-for-unity,2921,csharp
d2phap,ImageGlass,2916,bash
dotnetcore,FreeSql,2887,csharp
dotnetcore,FreeSql,2887,shell
picoe,Eto,2849,C#
picoe,Eto,2849,fsharp
skoruba,IdentityServer4.Admin,2817,sh
skoruba,IdentityServer4.Admin,2817,
skoruba,IdentityServer4.Admin,2817,custom
skoruba,IdentityServer4.Admin,2817,bash
skoruba,IdentityServer4.Admin,2817,json
skoruba,IdentityServer4.Admin,2817,cs
btcpayserver,btcpayserver,2813,powershell
btcpayserver,btcpayserver,2813,sh
btcpayserver,btcpayserver,2813,bash
siteserver,cms,2795,code
siteserver,cms,2795,
siteserver,cms,2795,sh
ExcelDataReader,ExcelDataReader,2793,c#
ExcelDataReader,ExcelDataReader,2793,
ravendb,ravendb,2769,
ravendb,ravendb,2769,bash
ravendb,ravendb,2769,powershell
ravendb,ravendb,2769,csharp
dotnet,docfx,2725,
microsoft,Git-Credential-Manager-for-Windows,2708,text
microsoft,Git-Credential-Manager-for-Windows,2708,shell
morelinq,MoreLINQ,2683,c#
Azure,azure-powershell,2682,powershell
grpc,grpc-dotnet,2673,xml
grpc,grpc-dotnet,2673,
mono,monodevelop,2660,
StephenCleary,AsyncEx,2654,C#
tmenier,Flurl,2652,c#
Tyrrrz,DiscordChatExporter,2649,sh
Tyrrrz,DiscordChatExporter,2649,plaintext
pythonnet,pythonnet,2647,
chromelyapps,Chromely,2636,csharp
mongodb,mongo-csharp-driver,2633,C#
k8gege,Ladon,2625,Bash
ClosedXML,ClosedXML,2578,
ClosedXML,ClosedXML,2578,c#
topameng,tolua,2549,csharp
topameng,tolua,2549,lua
xoofx,markdig,2536,csharp
xoofx,markdig,2536,
sshnet,SSH.NET,2532,cs
SeriaWei,ZKEACMS,2530,
codebude,QRCoder,2529,bash
codebude,QRCoder,2529,csharp
ninject,Ninject,2479,C#
dockersamples,example-voting-app,2439,
Armin2208,Windows-Auto-Night-Mode,2419,powershell
Armin2208,Windows-Auto-Night-Mode,2419,C#
aspnet,SignalR,2402,bash
aspnet,SignalR,2402,
dbrizov,NaughtyAttributes,2384,
dbrizov,NaughtyAttributes,2384,csharp
Xabaril,AspNetCore.Diagnostics.HealthChecks,2384,PowerShell
Xabaril,AspNetCore.Diagnostics.HealthChecks,2384,csharp
Xabaril,AspNetCore.Diagnostics.HealthChecks,2384,powershell
Xabaril,AspNetCore.Diagnostics.HealthChecks,2384,json
microsoft,WinAppDriver,2368,
AutoFixture,AutoFixture,2363,c#
AutoFixture,AutoFixture,2363,cmd
Cysharp,MagicOnion,2337,bash
Cysharp,MagicOnion,2337,csharp
Cysharp,MagicOnion,2337,
Cysharp,MagicOnion,2337,json
Cysharp,MagicOnion,2337,xml
Cysharp,MagicOnion,2337,shell
scriptcs,scriptcs,2314,batchfile
scriptcs,scriptcs,2314,c#
scriptcs,scriptcs,2314,xml
IgnaceMaes,MaterialSkin,2303,cs
IgnaceMaes,MaterialSkin,2303,vb
sebastienros,jint,2293,c#
sebastienros,jint,2293,javascript
sebastienros,jint,2293,csharp
OneGet,oneget,2287,powershell
OneGet,oneget,2287,PowerShell
zeromq,netmq,2267,csharp
mono,SkiaSharp,2261,
bridgedotnet,Bridge,2248,csharp
bridgedotnet,Bridge,2248,javascript
bridgedotnet,Bridge,2248,
bridgedotnet,Bridge,2248,md
bridgedotnet,Bridge,2248,html
Kinnara,ModernWpf,2237,xaml
fluentscheduler,FluentScheduler,2227,cs
ldqk,Masuit.Tools,2200,shell
ldqk,Masuit.Tools,2200,csharp
ServiceStack,ServiceStack.Redis,2185,csharp
ServiceStack,ServiceStack.Redis,2185,lua
neuecc,ZeroFormatter,2176,csharp
neuecc,ZeroFormatter,2176,
EasyNetQ,EasyNetQ,2165,c#
opentk,opentk,2137,
coverlet-coverage,coverlet,2136,bash
coverlet-coverage,coverlet,2136,
liangxiegame,QFramework,2123,csharp
rafaelfgx,Architecture,2121,typescript
rafaelfgx,Architecture,2121,csharp
rafaelfgx,Architecture,2121,cs
reactiveui,Akavache,2120,cs
reactiveui,Akavache,2120,XAML
Cysharp,UniTask,2118,csharp
Cysharp,UniTask,2118,txt
Cysharp,UniTask,2118,
xamarin,monodroid-samples,2116,yaml
reactjs,React.NET,2111,
github,VisualStudio,2098,txt
octokit,octokit.net,2097,c#
octokit,octokit.net,2097,
neuecc,Utf8Json,2095,csharp
neuecc,Utf8Json,2095,
neuecc,Utf8Json,2095,js
neuecc,Utf8Json,2095,xml
linq2db,linq2db,2091,cs
linq2db,linq2db,2091,xml
linq2db,linq2db,2091,c#
PowerShell,PSReadLine,2085,powershell
PowerShell,PSReadLine,2085,none
kevin-montrose,Jil,2068,C#
kevin-montrose,Jil,2068,csharp
RevenantX,LiteNetLib,2047,csharp
IdentityServer,IdentityServer3,2040,csharp
dotnetcore,osharp,2024,
PomeloFoundation,Pomelo.EntityFrameworkCore.MySql,1998,xml
PomeloFoundation,Pomelo.EntityFrameworkCore.MySql,1998,csharp
PomeloFoundation,Pomelo.EntityFrameworkCore.MySql,1998,
confluentinc,confluent-kafka-dotnet,1997,
confluentinc,confluent-kafka-dotnet,1997,csharp
borisdj,EFCore.BulkExtensions,1995,C#
SciSharp,TensorFlow.NET,1994,sh
SciSharp,TensorFlow.NET,1994,csharp
SciSharp,TensorFlow.NET,1994,fsharp
SciSharp,TensorFlow.NET,1994,git
openiddict,openiddict-core,1991,xml
Antaris,RazorEngine,1983,csharp
hardkoded,puppeteer-sharp,1968,cs
sqlkata,querybuilder,1964,sh
sqlkata,querybuilder,1964,cs
sqlkata,querybuilder,1964,jsonc
Megabit,Blazorise,1963,
Megabit,Blazorise,1963,html
Megabit,Blazorise,1963,cs
Megabit,Blazorise,1963,xml
xamarin,XamarinComponents,1963,sh
benaadams,Ben.Demystifier,1933,
benaadams,Ben.Demystifier,1933,csharp
AppMetrics,AppMetrics,1916,
sjdirect,abot,1911,command
sjdirect,abot,1911,c#
Code52,carnac,1908,ps
googlevr,tilt-brush,1905,
DotNetAnalyzers,StyleCopAnalyzers,1903,bash
UnityTech,UIWidgets,1877,none
UnityTech,UIWidgets,1877,csharp
NuGetPackageExplorer,NuGetPackageExplorer,1873,
Siccity,xNode,1868,
Siccity,xNode,1868,csharp
nhibernate,nhibernate-core,1866,xml
peachpiecompiler,peachpie,1863,shell
eventflow,EventFlow,1860,csharp
eventflow,EventFlow,1860,
CollaboratingPlatypus,PetaPoco,1826,c#
wolfgarbe,SymSpell,1822,
wolfgarbe,SymSpell,1822,diff
wolfgarbe,SymSpell,1822,csharp
Fody,Costura,1816,powershell
Fody,Costura,1816,xml
Fody,Costura,1816,csharp
vietnam-devs,coolstore-microservices,1808,
pwntester,ysoserial.net,1803,
statianzo,Fleck,1800,c#
statianzo,Fleck,1800,cs
sprache,Sprache,1799,csharp
FransBouma,Massive,1773,csharp
Facepunch,Facepunch.Steamworks,1772,csharp
ravibpatel,AutoUpdater.NET,1767,powershell
ravibpatel,AutoUpdater.NET,1767,xml
ravibpatel,AutoUpdater.NET,1767,csharp
ravibpatel,AutoUpdater.NET,1767,json
GhostPack,Seatbelt,1753,
filipw,dotnet-script,1742,shell
filipw,dotnet-script,1742,powershell
filipw,dotnet-script,1742,cs
filipw,dotnet-script,1742,
filipw,dotnet-script,1742,bash
filipw,dotnet-script,1742,c#
filipw,dotnet-script,1742,C#
filipw,dotnet-script,1742,csharp
filipw,dotnet-script,1742,JSON
micjahn,ZXing.Net,1729,csharp
zzzprojects,EntityFramework-Plus,1728,csharp
lukencode,FluentEmail,1722,csharp
lukencode,FluentEmail,1722,xml
khellang,Scrutor,1720,
khellang,Scrutor,1720,csharp
dotnetcore,NPOI,1718,
dotnetcore,NPOI,1718,powershell
dotnetcore,NPOI,1718,csharp
MapsterMapper,Mapster,1694,
MapsterMapper,Mapster,1694,csharp
NewEraCracker,LOIC,1692,
natemcmaster,CommandLineUtils,1689,
natemcmaster,CommandLineUtils,1689,c#
Jessecar96,SteamDesktopAuthenticator,1687,
dotnet,samples,1675,console
dotnet,samples,1675,csharp
ButchersBoy,Dragablz,1674,xml
UnityCommunity,UnityLibrary,1671,bash
Tyrrrz,YoutubeExplode,1668,csharp
mob-sakai,ParticleEffectForUGUI,1661,
mob-sakai,ParticleEffectForUGUI,1661,cs
2881099,csredis,1659,csharp
2881099,csredis,1659,shell
rebus-org,Rebus,1640,csharp
odedshimon,BruteShark,1628,bash
odedshimon,BruteShark,1628,csharp
apache,lucenenet,1627,
jwt-dotnet,jwt,1621,c#
nhibernate,fluent-nhibernate,1606,
MetacoSA,NBitcoin,1586,bash
MetacoSA,NBitcoin,1586,json
MetacoSA,NBitcoin,1586,powershell
MetacoSA,NBitcoin,1586,
MetacoSA,NBitcoin,1586,csharp
nsubstitute,NSubstitute,1585,csharp
Azure,azure-functions-host,1584,javascript
Azure,azure-functions-host,1584,powershell
Azure,azure-functions-host,1584,python
Azure,azure-functions-host,1584,batch
shouldly,shouldly,1581,cs
shouldly,shouldly,1581,bash
FastReports,FastReport,1567,sh
FastReports,FastReport,1567,
kwwwvagaa,NetWinformControl,1561,csharp
JasperFx,marten,1542,csharp
Syomus,ProceduralToolkit,1542,
Syomus,ProceduralToolkit,1542,C#
Syomus,ProceduralToolkit,1542,HLSL
dotnetcore,WebApiClient,1534,
dotnetcore,WebApiClient,1534,c#
thepirat000,Audit.NET,1529,
thepirat000,Audit.NET,1529,c#
thepirat000,Audit.NET,1529,javascript
scriban,scriban,1528,C#
scriban,scriban,1528,xml
nxrighthere,UnrealCLR,1516,
praeclarum,Ooui,1513,bash
praeclarum,Ooui,1513,csharp
ServiceStack,ServiceStack.OrmLite,1507,xml
ServiceStack,ServiceStack.OrmLite,1507,csharp
ServiceStack,ServiceStack.OrmLite,1507,sql
aaubry,YamlDotNet,1502,c#
aaubry,YamlDotNet,1502,
tmsmith,Dapper-Extensions,1501,
tmsmith,Dapper-Extensions,1501,c#
dotnet,Docker.DotNet,1499,csharp
dotnet,Docker.DotNet,1499,json
dotnet,Docker.DotNet,1499,c#
xamarin,ios-samples,1480,yaml
sharpdx,SharpDX,1468,xml
bombomby,optick,1445,c++
xamarin,mobile-samples,1445,yaml
Tayx94,graphy,1443,
lgsvl,simulator,1437,
Garderoben,MudBlazor,1431,
Garderoben,MudBlazor,1431,razor
Garderoben,MudBlazor,1431,c#
Garderoben,MudBlazor,1431,html
dotnet,pinvoke,1425,powershell
dotnet,pinvoke,1425,csharp
dotnet,pinvoke,1425,xml
BornToBeRoot,NETworkManager,1421,PowerShell
FoundatioFx,Foundatio,1419,csharp
asc-lab,dotnetcore-microservices-poc,1414,bash
ivaylokenov,MyTested.AspNetCore.Mvc,1411,json
ivaylokenov,MyTested.AspNetCore.Mvc,1411,xml
ivaylokenov,MyTested.AspNetCore.Mvc,1411,c#
ivaylokenov,MyTested.AspNetCore.Mvc,1411,powershell
danielpalme,ReportGenerator,1410,
danielpalme,ReportGenerator,1410,gitconfig
danielpalme,ReportGenerator,1410,bash
danielpalme,ReportGenerator,1410,xml
dotnet,iot,1404,shell
Fody,PropertyChanged,1401,powershell
Fody,PropertyChanged,1401,xml
Fody,PropertyChanged,1401,csharp
NLua,NLua,1397,csharp
Cn33liz,p0wnedShell,1388,
gerardog,gsudo,1381,batch
gerardog,gsudo,1381,gsudo
gerardog,gsudo,1381,PowerShell
gerardog,gsudo,1381,bash
dotnet,infer,1374,
lucent-sea,Remotely,1371,
monitor1394,unity-ugui-XCharts,1368,js
monitor1394,unity-ugui-XCharts,1368,json
paolosalvatori,ServiceBusExplorer,1362,
PiranhaCMS,piranha.core,1352,bash
setchi,FancyScrollView,1347,
setchi,FancyScrollView,1347,json
setchi,FancyScrollView,1347,csharp
castleproject,Core,1346,
dotnetcore,Magicodes.IE,1341,csharp
dotnetcore,Magicodes.IE,1341,
xamarin,XamarinCommunityToolkit,1337,xaml
SkyAPM,SkyAPM-dotnet,1332,
aspnet-contrib,AspNet.Security.OAuth.Providers,1329,csharp
castleproject,Windsor,1328,
NuGet,NuGetGallery,1328,
mikependon,RepoDB,1298,csharp
scientistproject,Scientist.net,1298,csharp
Nethereum,Nethereum,1297,
0xd4d,dnlib,1296,C#
zkSNACKs,WalletWasabi,1289,sh
shuxinqin,Chloe,1283,C#
jstedfast,MimeKit,1281,
jstedfast,MimeKit,1281,csharp
ScutGame,Scut,1278,
cube0x0,CVE-2021-1675,1260,
cube0x0,CVE-2021-1675,1260,bash
cube0x0,CVE-2021-1675,1260,powershell
leinlin,Miku-LuaProfiler,1257,
asadsahi,AspNetCoreSpa,1256,
asadsahi,AspNetCoreSpa,1256,bash
mono,xwt,1255,cs
justcoding121,titanium-web-proxy,1235,csharp
944095635,DMSkin,1234,xml
NeutroniumCore,Neutronium,1222,CSharp
NeutroniumCore,Neutronium,1222,HTML
PowerShell,PSScriptAnalyzer,1222,PowerShell
PowerShell,PSScriptAnalyzer,1222,powershell
PowerShell,PSScriptAnalyzer,1222,json
PowerShell,PSScriptAnalyzer,1222,c#
qmlnet,qmlnet,1213,bash
qmlnet,qmlnet,1213,c#
qmlnet,qmlnet,1213,js
TASVideos,BizHawk,1209,
TASVideos,BizHawk,1209,sh
TASVideos,BizHawk,1209,pwsh
TylerBrinkley,Enums.NET,1209,c#
ardalis,ApiEndpoints,1204,bash
ardalis,ApiEndpoints,1204,csharp
AsynkronIT,protoactor-dotnet,1203,csharp
stefanprodan,WebApiThrottle,1203,cs
stefanprodan,WebApiThrottle,1203,xml
vkhorikov,CSharpFunctionalExtensions,1198,csharp
zkavtaskin,Domain-Driven-Design-Example,1188,
ServiceStack,ServiceStack.Text,1187,csharp
ServiceStack,ServiceStack.Text,1187,js
ServiceStack,ServiceStack.Text,1187,ts
VitalElement,AvalonStudio,1187,sh
Sergio0694,ComputeSharp,1182,
Sergio0694,ComputeSharp,1182,csharp
Sergio0694,ComputeSharp,1182,C#
Sergio0694,ComputeSharp,1182,fsharp
SciSharp,BotSharp,1178,sh
Tyrrrz,CliWrap,1178,csharp
dotnet,codeformatter,1172,
microsoft,Microsoft.IO.RecyclableMemoryStream,1156,
microsoft,Microsoft.IO.RecyclableMemoryStream,1156,csharp
p3nt4,PowerShdll,1154,
reactivemarbles,DynamicData,1153,cs
dotnetcore,EasyCaching,1152,
dotnetcore,EasyCaching,1152,csharp
cedrozor,myrtille,1143,
keijiro,Kino,1141,
lampo1024,DncZeus,1138,
ThePBone,GalaxyBudsClient,1137,
OmniSharp,omnisharp-roslyn,1135,
OmniSharp,omnisharp-roslyn,1135,JSON
GlitchEnzo,NuGetForUnity,1133,
gkngkc,UnityStandaloneFileBrowser,1121,csharp
Baseflow,LottieXamarin,1120,c#
Baseflow,LottieXamarin,1120,xml
Unity-Technologies,Graphics,1120,
TeamSirenix,odin-serializer,1116,csharp
Unity-Technologies,Unity.Mathematics,1114,C#
loklak,loklak_dotnet_api,1113,
toddams,RazorLight,1112,
toddams,RazorLight,1112,cs
toddams,RazorLight,1112,CSharp
toddams,RazorLight,1112,html
toddams,RazorLight,1112,c#
toddams,RazorLight,1112,XML
toddams,RazorLight,1112,xml
lachesis,scallion,1111,
rasta-mouse,Watson,1110,
chocolatey,ChocolateyGUI,1108,ps1
chocolatey,ChocolateyGUI,1108,
dotnet,roslyn-analyzers,1094,xml
Unity-Technologies,com.unity.multiplayer.mlapi,1093,
Unity-Technologies,com.unity.multiplayer.mlapi,1093,csharp
VerbalExpressions,CSharpVerbalExpressions,1088,
VerbalExpressions,CSharpVerbalExpressions,1088,csharp
ProxyKit,ProxyKit,1081,bash
ProxyKit,ProxyKit,1081,csharp
ProxyKit,ProxyKit,1081,
oskardudycz,EventSourcing.NetCore,1078,json
oskardudycz,EventSourcing.NetCore,1078,csharp
oskardudycz,EventSourcing.NetCore,1078,
unosquare,embedio,1076,
unosquare,embedio,1076,csharp
davideicardi,DynamicExpresso,1072,csharp
blowdart,AspNetAuthorizationWorkshop,1070,c#
blowdart,AspNetAuthorizationWorkshop,1070,
stripe,stripe-dotnet,1069,sh
stripe,stripe-dotnet,1069,powershell
stripe,stripe-dotnet,1069,c#
dotnet,format,1067,console
gradientspace,geometry3Sharp,1067,
prometheus-net,prometheus-net,1066,csharp
prometheus-net,prometheus-net,1066,
code-cracker,code-cracker,1060,powershell
code-cracker,code-cracker,1060,shell
code-cracker,code-cracker,1060,bash
qmk,qmk_toolbox,1056,sh
dwmkerr,sharpshell,1054,
Unity-Technologies,AutoLOD,1046,json
vrm-c,UniVRM,1046,console
vrm-c,UniVRM,1046,
VeriorPies,ParrelSync,1045,
dotnet,templating,1044,bash
KirillOsenkov,MSBuildStructuredLog,1041,
microsoft,RulesEngine,1037,json
microsoft,RulesEngine,1037,c#
servicetitan,Stl.Fusion,1033,cs
Mpdreamz,shellprogressbar,1028,csharp
DavidArayan,ezy-slice,1026,C#
natemcmaster,LettuceEncrypt,1024,csharp
natemcmaster,LettuceEncrypt,1024,jsonc
natemcmaster,LettuceEncrypt,1024,c#
