Owner,Repository,Stars
NeutroniumCore,Neutronium,1222
qmlnet,qmlnet,1213
iamoldli,NetModular,1208
1y0n,AV_Evasion_Tool,1207
AsynkronIT,protoactor-dotnet,1203
VitalElement,AvalonStudio,1187
ServiceStack,ServiceStack.Text,1187
SciSharp,BotSharp,1178
phw198,OutlookGoogleCalendarSync,1174
Pixeval,Pixeval,1168
FakeItEasy,FakeItEasy,1165
SubnauticaNitrox,Nitrox,1163
lampo1024,DncZeus,1138
sonicether,SEGI,1137
ThePBone,GalaxyBudsClient,1137
helix-toolkit,helix-toolkit,1130
TeamSirenix,odin-serializer,1116
toddams,RazorLight,1112
Invoke-IR,PowerForensics,1100
dotnetcore,HttpReports,1099
ProxyKit,ProxyKit,1081
microsoft,coyote,1078
jwallet,spy-spotify,1077
jsuarezruiz,awesome-xamarin-forms,1075
davideicardi,DynamicExpresso,1072
essensoft,paylink,1068
dotnet,format,1067
dwmkerr,sharpshell,1054
vrm-c,UniVRM,1046
VeriorPies,ParrelSync,1045
Revolutionary-Games,Thrive,1044
Depressurizer,Depressurizer,1038
DavidArayan,ezy-slice,1026
natemcmaster,LettuceEncrypt,1024
sourcechord,FluentWPF,1022
prajjwaldimri,GithubXamarin,1016
simpleinjector,SimpleInjector,1007
alastairtree,LazyCache,1003
