GitHubProject,NuGetPreview,Stars,Scheme,Link
"[microsoft/AttackSurfaceAnalyzer](https://www.github.com/microsoft/AttackSurfaceAnalyzer#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.AttackSurfaceAnalyzer?preview=1#show-readme-container)",2075,mailto,mailto:REDACTED
"[microsoft/aspnet-api-versioning](https://www.github.com/microsoft/aspnet-api-versioning#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.aspnet-api-versioning?preview=1#show-readme-container)",2058,mailto,mailto:REDACTED
"[confluentinc/confluent-kafka-dotnet](https://www.github.com/confluentinc/confluent-kafka-dotnet#readme)","[Preview](https://dev.nugettest.org/packages/loic.confluentinc.confluent-kafka-dotnet?preview=1#show-readme-container)",1997,mailto,mailto:REDACTED
"[googlevr/tilt-brush](https://www.github.com/googlevr/tilt-brush#readme)","[Preview](https://dev.nugettest.org/packages/loic.googlevr.tilt-brush?preview=1#show-readme-container)",1905,unityhub,unityhub://2018.4.11f1/7098af2f11ea
"[pnp/PnP](https://www.github.com/pnp/PnP#readme)","[Preview](https://dev.nugettest.org/packages/loic.pnp.PnP?preview=1#show-readme-container)",1843,mailto,mailto:REDACTED
"[CollaboratingPlatypus/PetaPoco](https://www.github.com/CollaboratingPlatypus/PetaPoco#readme)","[Preview](https://dev.nugettest.org/packages/loic.CollaboratingPlatypus.PetaPoco?preview=1#show-readme-container)",1826,file,file://github.com/asherber/PetaPoco.SqlKata
"[CollaboratingPlatypus/PetaPoco](https://www.github.com/CollaboratingPlatypus/PetaPoco#readme)","[Preview](https://dev.nugettest.org/packages/loic.CollaboratingPlatypus.PetaPoco?preview=1#show-readme-container)",1826,file,file://sqlkata.com/
"[CollaboratingPlatypus/PetaPoco](https://www.github.com/CollaboratingPlatypus/PetaPoco#readme)","[Preview](https://dev.nugettest.org/packages/loic.CollaboratingPlatypus.PetaPoco?preview=1#show-readme-container)",1826,file,file://github.com/CollaboratingPlatypus/PetaPoco/wiki/Building-SQL-Queries
"[CollaboratingPlatypus/PetaPoco](https://www.github.com/CollaboratingPlatypus/PetaPoco#readme)","[Preview](https://dev.nugettest.org/packages/loic.CollaboratingPlatypus.PetaPoco?preview=1#show-readme-container)",1826,file,file://github.com/asherber/StaTypPocoQueries.PetaPoco
"[CollaboratingPlatypus/PetaPoco](https://www.github.com/CollaboratingPlatypus/PetaPoco#readme)","[Preview](https://dev.nugettest.org/packages/loic.CollaboratingPlatypus.PetaPoco?preview=1#show-readme-container)",1826,file,file://github.com/hippasus/PetaPoco.DBEntityGenerator
"[microsoft/nodejstools](https://www.github.com/microsoft/nodejstools#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.nodejstools?preview=1#show-readme-container)",1769,mailto,mailto:REDACTED
"[microsoft/nodejstools](https://www.github.com/microsoft/nodejstools#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.nodejstools?preview=1#show-readme-container)",1769,mailto,mailto:REDACTED
"[UnityCommunity/UnityLibrary](https://www.github.com/UnityCommunity/UnityLibrary#readme)","[Preview](https://dev.nugettest.org/packages/loic.UnityCommunity.UnityLibrary?preview=1#show-readme-container)",1671,mailto,mailto:REDACTED
